"","Site","Plot","Treatment","Species","PFT","tottally","blanktot","totabun","relabun","Year","type","rawabun","Native.Introduced"
"64","Arboretum","3","2","ARFE","PF",22,0,22,0.217821782178218,2021,"seedbank",NA,"N"
"65","Arboretum","3","2","ASHU","PF",1,0,1,0.0099009900990099,2021,"seedbank",NA,"N"
"66","Arboretum","3","2","ERSP","A",20,0,20,0.198019801980198,2021,"seedbank",NA,"N"
"67","Arboretum","3","2","PEVI","PF",1,0,1,0.0099009900990099,2021,"seedbank",NA,"N"
"68","Arboretum","3","2","POHI","PF",4,0,4,0.0396039603960396,2021,"seedbank",NA,"N"
"69","Arboretum","3","2","SPHA","PF",42,0,42,0.415841584158416,2021,"seedbank",NA,"N"
"70","Arboretum","3","2","TAOF","PF",6,1,5,0.0495049504950495,2021,"seedbank",NA,"I"
"71","Arboretum","4","3","ACMI","PF",5,0,5,0.0354609929078014,2021,"seedbank",NA,"N"
"72","Arboretum","4","3","ARCA","PF",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"73","Arboretum","4","3","ARFE","PF",7,0,7,0.049645390070922,2021,"seedbank",NA,"N"
"74","Arboretum","4","3","ASHU","PF",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"75","Arboretum","4","3","CHAL","A",1,0,1,0.00709219858156028,2021,"seedbank",NA,"I"
"76","Arboretum","4","3","ERSP","A",72,0,72,0.51063829787234,2021,"seedbank",NA,"N"
"77","Arboretum","4","3","LUKI","A",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"78","Arboretum","4","3","PEVI","PF",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"79","Arboretum","4","3","POHI","PF",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"80","Arboretum","4","3","SPHA","PF",15,0,15,0.106382978723404,2021,"seedbank",NA,"N"
"81","Arboretum","4","3","TAOF","PF",29,1,28,0.198581560283688,2021,"seedbank",NA,"I"
"82","Arboretum","4","3","VETH","A",12,4,8,0.0567375886524823,2021,"seedbank",NA,"I"
"83","Arboretum","5","1","ARFE","PF",16,0,16,0.533333333333333,2021,"seedbank",NA,"N"
"84","Arboretum","5","1","ELEL","PG3",6,0,6,0.2,2021,"seedbank",NA,"N"
"85","Arboretum","5","1","ERSP","A",5,0,5,0.166666666666667,2021,"seedbank",NA,"N"
"86","Arboretum","5","1","SPHA","PF",1,0,1,0.0333333333333333,2021,"seedbank",NA,"N"
"87","Arboretum","5","1","TAOF","PF",3,1,2,0.0666666666666667,2021,"seedbank",NA,"I"
"88","Arboretum","5","1","VETH","A",1,4,0,0,2021,"seedbank",NA,"I"
"89","Arboretum","6","1","ARCA","PF",4,0,4,0.148148148148148,2021,"seedbank",NA,"N"
"90","Arboretum","6","1","ASHU","PF",1,0,1,0.037037037037037,2021,"seedbank",NA,"N"
"91","Arboretum","6","1","BLTR","PG4",4,0,4,0.148148148148148,2021,"seedbank",NA,"N"
"92","Arboretum","6","1","ELEL","PG3",5,0,5,0.185185185185185,2021,"seedbank",NA,"N"
"93","Arboretum","6","1","TAOF","PF",14,1,13,0.481481481481481,2021,"seedbank",NA,"I"
"94","Arboretum","6","1","VETH","A",1,4,0,0,2021,"seedbank",NA,"I"
"95","Arboretum","7","3","ACMI","PF",1,0,1,0.00826446280991736,2021,"seedbank",NA,"N"
"96","Arboretum","7","3","ANRO","PF",4,0,4,0.0330578512396694,2021,"seedbank",NA,"N"
"97","Arboretum","7","3","ARFE","PF",8,0,8,0.0661157024793388,2021,"seedbank",NA,"N"
"98","Arboretum","7","3","BLTR","PG4",4,0,4,0.0330578512396694,2021,"seedbank",NA,"N"
"99","Arboretum","7","3","CHAL","A",1,0,1,0.00826446280991736,2021,"seedbank",NA,"I"
"100","Arboretum","7","3","ELEL","PG3",6,0,6,0.0495867768595041,2021,"seedbank",NA,"N"
"101","Arboretum","7","3","ERSP","A",32,0,32,0.264462809917355,2021,"seedbank",NA,"N"
"102","Arboretum","7","3","SPHA","PF",1,0,1,0.00826446280991736,2021,"seedbank",NA,"N"
"103","Arboretum","7","3","TAOF","PF",65,1,64,0.528925619834711,2021,"seedbank",NA,"I"
"104","Arboretum","8","2","ARFE","PF",2,0,2,0.0555555555555556,2021,"seedbank",NA,"N"
"105","Arboretum","8","2","BLTR","PG4",11,0,11,0.305555555555556,2021,"seedbank",NA,"N"
"106","Arboretum","8","2","CHAL","A",5,0,5,0.138888888888889,2021,"seedbank",NA,"I"
"107","Arboretum","8","2","LUKI","A",1,0,1,0.0277777777777778,2021,"seedbank",NA,"N"
"108","Arboretum","8","2","PEVI","PF",3,0,3,0.0833333333333333,2021,"seedbank",NA,"N"
"109","Arboretum","8","2","POOL","A",4,1,3,0.0833333333333333,2021,"seedbank",NA,"I"
"110","Arboretum","8","2","SPHA","PF",2,0,2,0.0555555555555556,2021,"seedbank",NA,"N"
"111","Arboretum","8","2","TAOF","PF",10,1,9,0.25,2021,"seedbank",NA,"I"
"112","Arboretum","9","2","ACMI","PF",1,0,1,0.0217391304347826,2021,"seedbank",NA,"N"
"113","Arboretum","9","2","ARCA","PF",3,0,3,0.0652173913043478,2021,"seedbank",NA,"N"
"114","Arboretum","9","2","ARFE","PF",15,0,15,0.326086956521739,2021,"seedbank",NA,"N"
"115","Arboretum","9","2","ASHU","PF",1,0,1,0.0217391304347826,2021,"seedbank",NA,"N"
"116","Arboretum","9","2","ELEL","PG3",5,0,5,0.108695652173913,2021,"seedbank",NA,"N"
"117","Arboretum","9","2","ERSP","A",12,0,12,0.260869565217391,2021,"seedbank",NA,"N"
"118","Arboretum","9","2","SPHA","PF",9,0,9,0.195652173913043,2021,"seedbank",NA,"N"
"119","Arboretum","10","3","ARFE","PF",4,0,4,0.0701754385964912,2021,"seedbank",NA,"N"
"120","Arboretum","10","3","CHAL","A",1,0,1,0.0175438596491228,2021,"seedbank",NA,"I"
"121","Arboretum","10","3","ERFL","A",1,0,1,0.0175438596491228,2021,"seedbank",NA,"N"
"122","Arboretum","10","3","ERSP","A",26,0,26,0.456140350877193,2021,"seedbank",NA,"N"
"123","Arboretum","10","3","PEVI","PF",2,0,2,0.0350877192982456,2021,"seedbank",NA,"N"
"124","Arboretum","10","3","SPHA","PF",5,0,5,0.087719298245614,2021,"seedbank",NA,"N"
"125","Arboretum","10","3","TAOF","PF",19,1,18,0.315789473684211,2021,"seedbank",NA,"I"
"126","Arboretum","11","1","ACMI","PF",4,0,4,0.0597014925373134,2021,"seedbank",NA,"N"
"127","Arboretum","11","1","ARCA","PF",2,0,2,0.0298507462686567,2021,"seedbank",NA,"N"
"128","Arboretum","11","1","ELEL","PG3",1,0,1,0.0149253731343284,2021,"seedbank",NA,"N"
"129","Arboretum","11","1","ERSP","A",33,0,33,0.492537313432836,2021,"seedbank",NA,"N"
"130","Arboretum","11","1","PEVI","PF",2,0,2,0.0298507462686567,2021,"seedbank",NA,"N"
"131","Arboretum","11","1","SPHA","PF",8,0,8,0.119402985074627,2021,"seedbank",NA,"N"
"132","Arboretum","11","1","TAOF","PF",18,1,17,0.253731343283582,2021,"seedbank",NA,"I"
"133","Arboretum","12","2","ANRO","PF",1,0,1,0.024390243902439,2021,"seedbank",NA,"N"
"134","Arboretum","12","2","ARCA","PF",1,0,1,0.024390243902439,2021,"seedbank",NA,"N"
