"","Site","Plot","Treatment","Year","type","BOER","CHSES","KOAM","PLJA","SATR","CAJA","CHEN","LILE","SPHA","UKFO","ACMI","ARCA","ARFE","ASHU","COAR","ERFL","LASE","LUKI","PLRI","POHI","PSMO","TRDU","UKGR","ALGE","ANRO","BOGR","BRPO","ELEL","EPBR","FEAR","MUMO","MURI","PODO","CAGE","CIWH","ERRA","MESP","POOL","ERFO","PEVI","ATCO","EPVI","DAPU","SPAI","KRLA","CHRE","ERNA","GUSA","HECO","JUMO","CHER","HELO","ZIGR","ARPU","BOGR ","SOEL","GLGO","CHDE","STTE","ATCA","CAPA","GETR","IRMI","POPR","ROWO","VETH","VIAM","ASSP","LUAR","HYHO","TAOF","PTAQ"
"11","Antelope","11","Water Addition",2021,"aboveground",0.247759620453347,0.00210859251449657,0.00579862941486558,0.00105429625724829,0.743278861360042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Antelope","12","Water Exclusion",2021,"aboveground",NA,NA,0.00295508274231679,NA,0.997044917257683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Arboretum","1","Water Exclusion",2021,"aboveground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00152683410947401,0.0152683410947401,0.00916100465684403,0.00381708527368501,0.431330635926407,0.00626001984884342,0.0229025116421101,0.194671348957936,0.00190854263684251,0.221390945873731,0.0229025116421101,0.0687075349263302,0.000152683410947401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Arboretum","2","Control",2021,"aboveground",NA,NA,NA,NA,NA,NA,0.00503873527744536,0.000314920954840335,NA,NA,0.0425143289034452,0.207847830194621,0.0251936763872268,0.0163758896516974,0.0488127480002519,0.00264533602065881,NA,0.110222334194117,NA,0.214146249291428,0.00944762864521005,NA,NA,0.053536562322857,0.00157460477420168,0.00503873527744536,0.0251936763872268,0.0053536562322857,0.0881778673552938,0.0680229262455124,0.0132266801032941,0.0566857718712603,0.00062984190968067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Arboretum","3","Water Addition",2021,"aboveground",NA,NA,NA,NA,NA,NA,NA,0.000542005420054201,NA,NA,0.17289972899729,0.043360433604336,0.013550135501355,0.100271002710027,NA,0.0021680216802168,0.0013550135501355,0.024390243902439,NA,0.317073170731707,NA,0.016260162601626,NA,0.010840108401084,0.0300813008130081,0.0257452574525745,NA,0.0596205962059621,NA,0.0487804878048781,0.0024390243902439,0.018970189701897,0.0303523035230352,0.00813008130081301,0.0704607046070461,0.002710027100271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Arboretum","4","Water Exclusion",2021,"aboveground",NA,NA,NA,NA,NA,NA,0.00685087919616351,0.00285453299840146,NA,NA,NA,0.0799269239552409,0.0114181319936058,0.0342543959808175,NA,0.0013701758392327,0.108472253939256,0.108472253939256,NA,0.445307147750628,NA,0.0456725279744234,NA,NA,0.0142726649920073,0.00570906599680292,NA,0.0222653573875314,0.0456725279744234,0.00570906599680292,NA,NA,NA,NA,NA,0.0599451929664307,0.00125599451929664,0.000570906599680292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Arboretum","5","Control",2021,"aboveground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0153762662807525,0.228232030873131,0.0195972021225277,0.0120598166907863,NA,0.0011456825856247,0.0120598166907863,0.00361794500723589,NA,0.346418234442836,0.00301495417269657,NA,NA,NA,NA,0.0678364688856729,NA,0.0367824409068982,0.00814037626628075,0.147732754462132,0.00301495417269657,0.0934635793535938,0.00150747708634829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Arboretum","6","Control",2021,"aboveground",NA,0.000318999617200459,NA,NA,NA,NA,NA,0.000318999617200459,NA,NA,0.0752839096593084,0.484879418144698,0.00956998851601378,0.027114967462039,NA,0.000574199310960827,0.00318999617200459,0.0637999234400919,NA,0.210539747352303,NA,NA,NA,NA,0.00446599464080643,NA,NA,0.0414699502360597,0.0325379609544469,0.0398749521500574,NA,0.00446599464080643,NA,NA,NA,0.0015949980860023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Arboretum","7","Water Exclusion",2021,"aboveground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131973605278944,0.0011997600479904,0.101979604079184,NA,0.0023995200959808,0.425914817036593,0.00359928014397121,NA,0.155968806238752,0.002999400119976,NA,NA,NA,0.011997600479904,NA,NA,0.023995200959808,0.0719856028794241,0.023995200959808,NA,0.0299940011997601,NA,NA,NA,NA,NA,NA,0.011997600479904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Arboretum","8","Water Addition",2021,"aboveground",NA,0.00192931007871585,NA,NA,NA,NA,NA,NA,NA,NA,0.0389720635900602,NA,0.0115758604722951,NA,NA,0.00640530946133663,0.0077172403148634,0.0173637907084427,NA,0.216082728816175,0.0077172403148634,NA,NA,0.0192931007871585,0.0169779286926995,0.0740855070226887,NA,NA,0.162062046612131,0.262386170705356,0.0219941348973607,0.111128260534033,0.00192931007871585,NA,NA,NA,0.00617379225189072,NA,0.0162062046612131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
