Species,Site,Tray,Tally,last_updated
MUMO,Camp Colton,5,1,6/10/22
MUMO,Camp Colton,6,1,6/10/22
MUMO,Camp Colton,7,6,6/10/22
MUMO,Camp Colton,8,2,6/10/22
MUMO,Camp Colton,9,2,6/10/22
MUMO,Camp Colton,10,0,6/10/22
MUMO,Camp Colton,11,5,6/10/22
MUMO,Camp Colton,12,6,6/10/22
MUTR,Arboretum,6,1,6/23/22
MUTR,Arboretum,7,4,6/23/22
MUTR,Arboretum,8,11,7/18/22
MUTR,Arboretum,6,3,7/18/22
OXLA,Camp Colton,8,1,7/18/22
OXLA,Camp Colton,10,1,6/23/22
PLJA,Antelope,1,1,6/23/22
PLJA,Antelope,5,2,6/23/22
PLJA,Black Point,3,3,7/18/22
PLJA,Black Point,4,1,7/18/22
PLJA,Black Point,5,2,7/18/22
PLJA,Black Point,7,7,7/18/22
PLJA,Black Point,9,1,7/18/22
PLJA,Black Point,10,2,7/18/22
PLJA,Black Point,11,4,7/18/22
PLJA,Antelope,12,1,7/18/22
POCR,Arboretum,3,4,6/23/22
POCR,Arboretum,4,1,6/23/22
POFE,Camp Colton,1,52,7/18/22
POFE,Camp Colton,2,25,7/18/22
POFE,Camp Colton,3,74,7/18/22
POFE,Camp Colton,4,62,7/18/22
POFE,Camp Colton,5,62,7/18/22
POFE,Camp Colton,6,38,7/18/22
POFE,Camp Colton,7,40,7/18/22
POFE,Camp Colton,8,89,7/18/22
POFE,Camp Colton,9,84,7/18/22
POFE,Camp Colton,10,60,7/18/22
POFE,Camp Colton,11,103,7/18/22
POFE,Camp Colton,12,78,7/18/22
POHI,Camp Colton,3,2,6/20/22
POHI,Camp Colton,4,1,6/20/22
POHI,Camp Colton,5,4,6/20/22
POHI,Camp Colton,6,1,6/20/22
POHI,Camp Colton,7,1,6/22/22
POHI,Camp Colton,8,3,6/20/22
POHI,Camp Colton,11,5,6/20/22
POHI,Camp Colton,12,1,6/20/22
POOL,Arboretum,8,4,5/31/22
POOL,Blank,3,1,7/18/22
POOL,Blank,10,1,7/18/22
SATR,Antelope,1,15,7/18/22
SATR,Antelope,2,32,5/31/22
SATR,Antelope,3,59,5/31/22
SATR,Antelope,4,37,7/18/22
SATR,Antelope,5,12,6/13/22
SATR,Antelope,6,14,5/31/22
SATR,Antelope,7,53,5/31/22
SATR,Antelope,8,6,5/31/22
SATR,Antelope,9,18,7/18/22
SATR,Antelope,10,17,7/18/22
SATR,Antelope,11,26,5/31/22
SATR,Antelope,12,52,5/31/22
SATR,Black Point,1,0,5/31/22
SATR,Black Point,2,4,5/31/22
SATR,Black Point,3,3,5/31/22
SATR,Black Point,4,2,5/31/22
SATR,Black Point,5,0,5/31/22
SATR,Black Point,6,1,7/18/22
SATR,Black Point,7,7,5/31/22
SATR,Black Point,8,11,5/31/22
SATR,Black Point,9,20,5/31/22
SATR,Black Point,10,10,5/31/22
SATR,Black Point,11,0,5/31/22
SATR,Black Point,12,3,5/31/22
SATR,Blue Chute,2,5,7/18/22
SATR,Blue Chute,7,1,5/31/22
SATR,Blue Chute,8,1,5/31/22
TAOF,Arboretum,1,6,7/5/22
TAOF,Arboretum,2,3,7/18/22
TAOF,Arboretum,3,6,7/18/22
TAOF,Arboretum,4,29,7/5/22
TAOF,Arboretum,5,3,7/18/22
TAOF,Arboretum,6,14,7/18/22
TAOF,Arboretum,7,65,7/18/22
TAOF,Arboretum,8,10,7/18/22
TAOF,Arboretum,10,19,7/18/22
TAOF,Arboretum,11,18,7/5/22
TAOF,Arboretum,12,3,7/18/22
TAOF,Camp Colton,5,2,7/18/22
TAOF,Camp Colton,3,5,7/5/22
TAOF,Camp Colton,7,1,7/5/22
TAOF,Camp Colton,11,1,7/18/22
TAOF,Antelope,4,2,7/18/22
TAOF,Antelope,11,1,7/18/22
TAOF,Blue Chute,3,1,7/18/22
TAOF,Blue Chute,6,1,7/18/22
TAOF,Blue Chute,7,1,7/18/22
TAOF,Black Point,10,1,7/18/22
TAOF,Blank,6,1,7/18/22
TAOF,Blank,10,1,7/18/22
UNK1,Arboretum,4,15,7/18/22
UNK1,Camp Colton,5,1,7/18/22
UNK1,Camp Colton,7,4,7/18/22
UNK1,Arboretum,7,1,7/18/22
UNK1,Arboretum,12,10,7/18/22
UNK1,Arboretum,1,6,7/18/22
UNK1,Arboretum,2,6,7/18/22
UNK1,Antelope,7,1,7/18/22
UNK1,Antelope,3,1,7/18/22
UNK1,Camp Colton,8,1,7/18/22
UNK1,Arboretum,11,8,7/18/22
UNK1,Arboretum,3,42,7/18/22
UNK1,Camp Colton,11,6,7/18/22
UNK1,Black Point,8,1,7/18/22
UNK1,Arboretum,5,1,7/18/22
UNK1,Camp Colton,2,1,7/18/22
UNK1,Arboretum,9,9,7/18/22
UNK1,Black Point,4,7,7/18/22
UNK1,Arboretum,10,5,7/18/22
UNK1,Antelope,11,1,7/18/22
UNK1,Arboretum,8,2,7/18/22
UNK1,Camp Colton,10,3,7/18/22
UNK1,Camp Colton,12,4,7/18/22
UNK2,Arboretum,4,72,7/18/22
UNK2,Camp Colton,5,8,7/18/22
UNK2,Camp Colton,7,13,7/18/22
UNK2,Arboretum,7,32,7/18/22
UNK2,Arboretum,12,17,7/18/22
UNK2,Arboretum,1,40,7/18/22
UNK2,Arboretum,2,14,7/18/22
UNK2,Antelope,7,2,7/18/22
UNK2,Antelope,3,1,7/18/22
UNK2,Camp Colton,8,6,7/18/22
UNK2,Arboretum,11,33,7/18/22
UNK2,Camp Colton,4,3,7/18/22
UNK2,Arboretum,3,20,7/18/22
UNK2,Camp Colton,11,13,7/18/22
UNK2,Black Point,8,2,7/18/22
UNK2,Blue Chute,2,2,7/18/22
UNK2,Arboretum,5,5,7/18/22
UNK2,Antelope,5,12,7/18/22
UNK2,Camp Colton,3,5,7/18/22
UNK2,Arboretum,9,12,7/18/22
UNK2,Antelope,4,4,7/18/22
UNK2,Arboretum,10,26,7/18/22
UNK2,Antelope,11,2,7/18/22
UNK2,Black Point,10,1,7/18/22
UNK3,Arboretum,2,1,7/18/22
UNK3,Arboretum,3,1,7/18/22
UNK3,Arboretum,8,3,7/18/22
UNK3,Arboretum,10,2,7/18/22
UNK3,Arboretum,11,2,7/18/22
UNK3,Antelope,11,2,7/18/22
UNK3,Camp Colton,10,1,7/18/22
UNK4,Antelope,4,1,7/18/22
UNK4,Antelope,11,1,7/18/22
UNK5,Black Point,5,1,7/18/22
UNK5,Blue Chute,2,1,7/18/22
UNK6,Black Point,7,1,7/18/22
UNK6,Black Point,11,1,7/18/22
UNK6,Black Point,12,1,7/18/22
UNK7,Arboretum,2,1,7/18/22
UNK8,Arboretum,4,1,7/18/22
UNK8,Camp Colton,10,1,7/18/22
VETH,Camp Colton,1,88,7/18/22
VETH,Camp Colton,2,100,7/18/22
VETH,Camp Colton,3,142,7/18/22
VETH,Camp Colton,4,97,7/18/22
VETH,Camp Colton,5,102,7/18/22
VETH,Camp Colton,6,72,7/18/22
VETH,Camp Colton,7,55,7/18/22
VETH,Camp Colton,8,101,7/18/22
VETH,Camp Colton,9,41,7/18/22
VETH,Camp Colton,10,46,7/18/22
VETH,Camp Colton,11,19,7/18/22
VETH,Camp Colton,12,28,7/18/22
VETH,Blue Chute,6,1,6/23/22
VETH,Black Point,2,1,7/18/22
VETH,Arboretum,4,12,7/18/22
VETH,Arboretum,5,1,7/18/22
VETH,Arboretum,6,1,7/18/22
VETH,Arboretum,12,3,7/18/22
VETH,Blank,11,4,7/18/22
