Date_Time,Unit,Value
12/14/2021 12:20,C,22.628
12/14/2021 14:00,C,19.626
12/14/2021 15:40,C,20.127
12/14/2021 17:20,C,19.126
12/14/2021 19:00,C,18.125
12/14/2021 20:40,C,17.123
12/14/2021 22:20,C,16.623
12/15/2021 0:00,C,15.621
12/15/2021 1:40,C,14.62
12/15/2021 3:20,C,13.117
12/15/2021 5:00,C,12.115
12/15/2021 6:40,C,12.115
12/15/2021 8:20,C,12.616
12/15/2021 10:00,C,16.623
12/15/2021 11:40,C,18.625
12/15/2021 13:20,C,20.627
12/15/2021 15:00,C,5.599
12/15/2021 16:40,C,3.091
12/15/2021 18:20,C,1.585
12/15/2021 20:00,C,0.582
12/15/2021 21:40,C,-0.422
12/15/2021 23:20,C,-1.928
12/16/2021 1:00,C,-2.932
12/16/2021 2:40,C,-3.937
12/16/2021 4:20,C,-4.941
12/16/2021 6:00,C,-4.941
12/16/2021 7:40,C,-4.941
12/16/2021 9:20,C,-2.43
12/16/2021 11:00,C,3.091
12/16/2021 12:40,C,6.1
12/16/2021 14:20,C,6.602
12/16/2021 16:00,C,5.097
12/16/2021 17:40,C,4.094
12/16/2021 19:20,C,3.592
12/16/2021 21:00,C,3.091
12/16/2021 22:40,C,2.087
12/17/2021 0:20,C,0.582
12/17/2021 2:00,C,-0.422
12/17/2021 3:40,C,-1.426
12/17/2021 5:20,C,-1.928
12/17/2021 7:00,C,-2.932
12/17/2021 8:40,C,-2.932
12/17/2021 10:20,C,0.582
12/17/2021 12:00,C,3.091
12/17/2021 13:40,C,4.094
12/17/2021 15:20,C,4.596
12/17/2021 17:00,C,3.091
12/17/2021 18:40,C,2.087
12/17/2021 20:20,C,1.084
12/17/2021 22:00,C,0.582
12/17/2021 23:40,C,0.08
12/18/2021 1:20,C,-0.422
12/18/2021 3:00,C,-0.924
12/18/2021 4:40,C,-1.426
12/18/2021 6:20,C,-1.928
12/18/2021 8:00,C,-2.43
12/18/2021 9:40,C,-0.422
12/18/2021 11:20,C,2.087
12/18/2021 13:00,C,3.091
12/18/2021 14:40,C,3.592
12/18/2021 16:20,C,3.091
12/18/2021 18:00,C,1.585
12/18/2021 19:40,C,0.08
12/18/2021 21:20,C,-1.426
12/18/2021 23:00,C,-1.928
12/19/2021 0:40,C,-2.43
12/19/2021 2:20,C,-3.434
12/19/2021 4:00,C,-4.439
12/19/2021 5:40,C,-5.443
12/19/2021 7:20,C,-5.946
12/19/2021 9:00,C,-4.439
12/19/2021 10:40,C,0.582
12/19/2021 12:20,C,4.094
12/19/2021 14:00,C,6.1
12/19/2021 15:40,C,6.602
12/19/2021 17:20,C,5.097
12/19/2021 19:00,C,2.589
12/19/2021 20:40,C,1.084
12/19/2021 22:20,C,0.08
12/20/2021 0:00,C,-0.924
12/20/2021 1:40,C,-1.928
12/20/2021 3:20,C,-2.43
12/20/2021 5:00,C,-2.932
12/20/2021 6:40,C,-3.434
12/20/2021 8:20,C,-3.434
12/20/2021 10:00,C,0.582
12/20/2021 11:40,C,6.1
12/20/2021 13:20,C,13.618
12/20/2021 15:00,C,16.623
12/20/2021 16:40,C,15.621
12/20/2021 18:20,C,15.621
12/20/2021 20:00,C,15.621
12/20/2021 21:40,C,16.122
12/20/2021 23:20,C,16.122
12/21/2021 1:00,C,16.122
12/21/2021 2:40,C,16.122
12/21/2021 4:20,C,16.122
12/21/2021 6:00,C,16.122
12/21/2021 7:40,C,15.621
12/21/2021 9:20,C,18.125
12/21/2021 11:00,C,19.626
12/21/2021 12:40,C,19.626
12/21/2021 14:20,C,19.626
12/21/2021 16:00,C,17.123
12/21/2021 17:40,C,16.623
12/21/2021 19:20,C,16.122
12/21/2021 21:00,C,16.122
12/21/2021 22:40,C,16.122
12/22/2021 0:20,C,15.621
12/22/2021 2:00,C,15.12
12/22/2021 3:40,C,15.12
12/22/2021 5:20,C,15.12
12/22/2021 7:00,C,15.12
12/22/2021 8:40,C,18.625
12/22/2021 10:20,C,19.626
12/22/2021 12:00,C,20.627
12/22/2021 13:40,C,20.627
12/22/2021 15:20,C,21.127
12/22/2021 17:00,C,18.125
12/22/2021 18:40,C,19.126
12/22/2021 20:20,C,19.626
12/22/2021 22:00,C,17.624
12/22/2021 23:40,C,17.123
12/23/2021 1:20,C,17.123
12/23/2021 3:00,C,16.623
12/23/2021 4:40,C,16.623
12/23/2021 6:20,C,16.623
12/23/2021 8:00,C,17.123
12/23/2021 9:40,C,19.626
12/23/2021 11:20,C,20.127
12/23/2021 13:00,C,20.627
12/23/2021 14:40,C,20.627
12/23/2021 16:20,C,18.125
12/23/2021 18:00,C,17.624
12/23/2021 19:40,C,17.624
12/23/2021 21:20,C,17.123
12/23/2021 23:00,C,17.123
12/24/2021 0:40,C,17.123
12/24/2021 2:20,C,16.623
12/24/2021 4:00,C,16.623
12/24/2021 5:40,C,16.122
12/24/2021 7:20,C,16.122
12/24/2021 9:00,C,16.122
12/24/2021 10:40,C,19.626
12/24/2021 12:20,C,17.123
12/24/2021 14:00,C,19.126
12/24/2021 15:40,C,17.624
12/24/2021 17:20,C,17.123
12/24/2021 19:00,C,17.123
12/24/2021 20:40,C,16.623
12/24/2021 22:20,C,16.623
12/25/2021 0:00,C,16.623
12/25/2021 1:40,C,16.122
12/25/2021 3:20,C,16.122
12/25/2021 5:00,C,16.122
12/25/2021 6:40,C,16.122
12/25/2021 8:20,C,16.122
12/25/2021 10:00,C,16.122
12/25/2021 11:40,C,16.122
12/25/2021 13:20,C,16.122
12/25/2021 15:00,C,16.122
12/25/2021 16:40,C,16.623
12/25/2021 18:20,C,16.623
12/25/2021 20:00,C,16.122
12/25/2021 21:40,C,16.122
12/25/2021 23:20,C,16.623
12/26/2021 1:00,C,16.122
12/26/2021 2:40,C,16.122
12/26/2021 4:20,C,16.122
12/26/2021 6:00,C,16.122
12/26/2021 7:40,C,15.621
12/26/2021 9:20,C,15.621
12/26/2021 11:00,C,18.625
12/26/2021 12:40,C,19.626
12/26/2021 14:20,C,16.623
12/26/2021 16:00,C,17.123
12/26/2021 17:40,C,16.623
12/26/2021 19:20,C,16.122
12/26/2021 21:00,C,16.122
12/26/2021 22:40,C,16.122
12/27/2021 0:20,C,16.122
12/27/2021 2:00,C,15.621
12/27/2021 3:40,C,15.621
12/27/2021 5:20,C,15.621
12/27/2021 7:00,C,15.621
