Date_Time,Unit,Value
12/14/2021 12:19,C,24.097
12/14/2021 13:59,C,20.596
12/14/2021 15:39,C,21.096
12/14/2021 17:19,C,20.095
12/14/2021 18:59,C,19.094
12/14/2021 20:39,C,18.594
12/14/2021 22:19,C,17.593
12/14/2021 23:59,C,16.591
12/15/2021 1:39,C,15.59
12/15/2021 3:19,C,14.087
12/15/2021 4:59,C,13.085
12/15/2021 6:39,C,13.085
12/15/2021 8:19,C,13.586
12/15/2021 9:59,C,17.593
12/15/2021 11:39,C,19.595
12/15/2021 13:19,C,21.596
12/15/2021 14:59,C,5.566
12/15/2021 16:39,C,2.054
12/15/2021 18:19,C,1.552
12/15/2021 19:59,C,1.051
12/15/2021 21:39,C,0.549
12/15/2021 23:19,C,-0.455
12/16/2021 0:59,C,-1.46
12/16/2021 2:39,C,-2.464
12/16/2021 4:19,C,-2.966
12/16/2021 5:59,C,-3.468
12/16/2021 7:39,C,-3.971
12/16/2021 9:19,C,-3.468
12/16/2021 10:59,C,-0.957
12/16/2021 12:39,C,1.552
12/16/2021 14:19,C,2.556
12/16/2021 15:59,C,2.556
12/16/2021 17:39,C,2.556
12/16/2021 19:19,C,2.556
12/16/2021 20:59,C,2.556
12/16/2021 22:39,C,2.054
12/17/2021 0:19,C,1.552
12/17/2021 1:59,C,1.051
12/17/2021 3:39,C,0.047
12/17/2021 5:19,C,-0.455
12/17/2021 6:59,C,-1.46
12/17/2021 8:39,C,-1.962
12/17/2021 10:19,C,-0.455
12/17/2021 11:59,C,1.051
12/17/2021 13:39,C,2.054
12/17/2021 15:19,C,2.556
12/17/2021 16:59,C,2.556
12/17/2021 18:39,C,2.054
12/17/2021 20:19,C,1.552
12/17/2021 21:59,C,1.552
12/17/2021 23:39,C,1.552
12/18/2021 1:19,C,1.051
12/18/2021 2:59,C,0.549
12/18/2021 4:39,C,0.047
12/18/2021 6:19,C,-0.455
12/18/2021 7:59,C,-0.455
12/18/2021 9:39,C,-0.455
12/18/2021 11:19,C,0.549
12/18/2021 12:59,C,1.552
12/18/2021 14:39,C,2.054
12/18/2021 16:19,C,2.556
12/18/2021 17:59,C,1.552
12/18/2021 19:39,C,1.051
12/18/2021 21:19,C,0.047
12/18/2021 22:59,C,-0.455
12/19/2021 0:39,C,-0.957
12/19/2021 2:19,C,-1.962
12/19/2021 3:59,C,-2.464
12/19/2021 5:39,C,-3.468
12/19/2021 7:19,C,-3.971
12/19/2021 8:59,C,-3.971
12/19/2021 10:39,C,-1.962
12/19/2021 12:19,C,0.047
12/19/2021 13:59,C,2.054
12/19/2021 15:39,C,3.058
12/19/2021 17:19,C,3.058
12/19/2021 18:59,C,2.556
12/19/2021 20:39,C,1.552
12/19/2021 22:19,C,1.051
12/19/2021 23:59,C,0.549
12/20/2021 1:39,C,-0.455
12/20/2021 3:19,C,-0.957
12/20/2021 4:59,C,-1.46
12/20/2021 6:39,C,-1.962
12/20/2021 8:19,C,-2.464
12/20/2021 9:59,C,-0.957
12/20/2021 11:39,C,1.552
12/20/2021 13:19,C,17.593
12/20/2021 14:59,C,20.095
12/20/2021 16:39,C,20.095
12/20/2021 18:19,C,20.095
12/20/2021 19:59,C,20.095
12/20/2021 21:39,C,19.595
12/20/2021 23:19,C,19.595
12/21/2021 0:59,C,19.595
12/21/2021 2:39,C,19.595
12/21/2021 4:19,C,19.595
12/21/2021 5:59,C,19.595
12/21/2021 7:39,C,19.595
12/21/2021 9:19,C,20.596
12/21/2021 10:59,C,22.097
12/21/2021 12:39,C,22.097
12/21/2021 14:19,C,22.097
12/21/2021 15:59,C,21.596
12/21/2021 17:39,C,20.596
12/21/2021 19:19,C,20.596
12/21/2021 20:59,C,20.596
12/21/2021 22:39,C,20.596
12/22/2021 0:19,C,20.095
12/22/2021 1:59,C,19.595
12/22/2021 3:39,C,20.095
12/22/2021 5:19,C,20.095
12/22/2021 6:59,C,19.595
12/22/2021 8:39,C,21.096
12/22/2021 10:19,C,22.097
12/22/2021 11:59,C,23.097
12/22/2021 13:39,C,22.597
12/22/2021 15:19,C,23.097
12/22/2021 16:59,C,21.596
12/22/2021 18:39,C,21.596
12/22/2021 20:19,C,22.597
12/22/2021 21:59,C,21.096
12/22/2021 23:39,C,21.096
12/23/2021 1:19,C,20.596
12/23/2021 2:59,C,20.596
12/23/2021 4:39,C,20.596
12/23/2021 6:19,C,20.596
12/23/2021 7:59,C,20.596
12/23/2021 9:39,C,22.597
12/23/2021 11:19,C,22.597
12/23/2021 12:59,C,22.597
12/23/2021 14:39,C,23.097
12/23/2021 16:19,C,22.097
12/23/2021 17:59,C,21.596
12/23/2021 19:39,C,21.096
12/23/2021 21:19,C,21.096
12/23/2021 22:59,C,21.096
12/24/2021 0:39,C,21.096
12/24/2021 2:19,C,21.096
12/24/2021 3:59,C,20.596
12/24/2021 5:39,C,20.596
12/24/2021 7:19,C,20.596
12/24/2021 8:59,C,20.596
12/24/2021 10:39,C,22.097
12/24/2021 12:19,C,21.096
12/24/2021 13:59,C,22.097
12/24/2021 15:39,C,21.096
12/24/2021 17:19,C,21.096
12/24/2021 18:59,C,21.096
12/24/2021 20:39,C,21.096
12/24/2021 22:19,C,20.596
12/24/2021 23:59,C,20.596
12/25/2021 1:39,C,20.596
12/25/2021 3:19,C,20.596
12/25/2021 4:59,C,20.596
12/25/2021 6:39,C,20.095
12/25/2021 8:19,C,20.095
12/25/2021 9:59,C,20.095
12/25/2021 11:39,C,20.095
12/25/2021 13:19,C,20.095
12/25/2021 14:59,C,20.596
12/25/2021 16:39,C,20.596
12/25/2021 18:19,C,20.596
12/25/2021 19:59,C,20.596
12/25/2021 21:39,C,20.596
12/25/2021 23:19,C,20.596
12/26/2021 0:59,C,20.596
12/26/2021 2:39,C,20.596
12/26/2021 4:19,C,20.596
12/26/2021 5:59,C,20.095
12/26/2021 7:39,C,20.095
12/26/2021 9:19,C,20.095
12/26/2021 10:59,C,21.596
12/26/2021 12:39,C,22.097
12/26/2021 14:19,C,21.096
12/26/2021 15:59,C,21.596
12/26/2021 17:39,C,21.096
12/26/2021 19:19,C,20.596
12/26/2021 20:59,C,20.596
12/26/2021 22:39,C,20.596
12/27/2021 0:19,C,20.596
12/27/2021 1:59,C,20.095
12/27/2021 3:39,C,20.095
12/27/2021 5:19,C,20.095
12/27/2021 6:59,C,20.095
12/27/2021 8:39,C,20.095
12/27/2021 10:19,C,21.096
12/27/2021 11:59,C,21.596
12/27/2021 13:39,C,22.097
12/27/2021 15:19,C,22.597
12/27/2021 16:59,C,21.096
12/27/2021 18:39,C,20.095
12/27/2021 20:19,C,20.095
12/27/2021 21:59,C,19.595
12/27/2021 23:39,C,19.595
12/28/2021 1:19,C,19.595
12/28/2021 2:59,C,19.094
12/28/2021 4:39,C,19.094
12/28/2021 6:19,C,19.094
12/28/2021 7:59,C,19.094
12/28/2021 9:39,C,19.094
12/28/2021 11:19,C,19.094
12/28/2021 12:59,C,19.094
12/28/2021 14:39,C,19.094
12/28/2021 16:19,C,19.094
12/28/2021 17:59,C,19.094
12/28/2021 19:39,C,19.094
12/28/2021 21:19,C,19.094
12/28/2021 22:59,C,19.094
12/29/2021 0:39,C,19.094
12/29/2021 2:19,C,19.094
12/29/2021 3:59,C,19.094
12/29/2021 5:39,C,19.094
12/29/2021 7:19,C,19.094
12/29/2021 8:59,C,19.094
12/29/2021 10:39,C,20.095
12/29/2021 12:19,C,21.596
12/29/2021 13:59,C,21.596
12/29/2021 15:39,C,21.096
12/29/2021 17:19,C,20.596
12/29/2021 18:59,C,21.596
12/29/2021 20:39,C,22.097
12/29/2021 22:19,C,22.097
12/29/2021 23:59,C,22.097
12/30/2021 1:39,C,22.097
12/30/2021 3:19,C,22.597
12/30/2021 4:59,C,22.597
12/30/2021 6:39,C,22.597
12/30/2021 8:19,C,22.597
12/30/2021 9:59,C,22.597
12/30/2021 11:39,C,23.097
12/30/2021 13:19,C,23.097
12/30/2021 14:59,C,23.097
12/30/2021 16:39,C,21.596
12/30/2021 18:19,C,21.096
12/30/2021 19:59,C,20.596
12/30/2021 21:39,C,20.596
12/30/2021 23:19,C,20.596
12/31/2021 0:59,C,20.596
12/31/2021 2:39,C,20.095
12/31/2021 4:19,C,20.095
12/31/2021 5:59,C,20.095
12/31/2021 7:39,C,20.095
12/31/2021 9:19,C,20.596
12/31/2021 10:59,C,20.596
12/31/2021 12:39,C,20.596
12/31/2021 14:19,C,20.596
12/31/2021 15:59,C,20.596
12/31/2021 17:39,C,20.596
12/31/2021 19:19,C,20.095
12/31/2021 20:59,C,20.095
12/31/2021 22:39,C,20.095
1/1/2022 0:19,C,20.095
1/1/2022 1:59,C,20.095
1/1/2022 3:39,C,20.095
1/1/2022 5:19,C,19.595
1/1/2022 6:59,C,19.595
