Date_Time,Unit,Value
12/14/2021 12:20,C,24.133
12/14/2021 14:00,C,20.131
12/14/2021 15:40,C,20.631
12/14/2021 17:20,C,20.131
12/14/2021 19:00,C,18.63
12/14/2021 20:40,C,18.129
12/14/2021 22:20,C,17.128
12/15/2021 0:00,C,16.127
12/15/2021 1:40,C,15.126
12/15/2021 3:20,C,14.124
12/15/2021 5:00,C,13.123
12/15/2021 6:40,C,12.622
12/15/2021 8:20,C,13.123
12/15/2021 10:00,C,17.128
12/15/2021 11:40,C,19.631
12/15/2021 13:20,C,21.132
12/15/2021 15:00,C,4.603
12/15/2021 16:40,C,2.095
12/15/2021 18:20,C,1.593
12/15/2021 20:00,C,1.593
12/15/2021 21:40,C,0.59
12/15/2021 23:20,C,-0.414
12/16/2021 1:00,C,-1.418
12/16/2021 2:40,C,-2.422
12/16/2021 4:20,C,-3.426
12/16/2021 6:00,C,-3.928
12/16/2021 7:40,C,-4.43
12/16/2021 9:20,C,-3.426
12/16/2021 11:00,C,-0.916
12/16/2021 12:40,C,2.095
12/16/2021 14:20,C,3.098
12/16/2021 16:00,C,3.098
12/16/2021 17:40,C,3.098
12/16/2021 19:20,C,3.098
12/16/2021 21:00,C,3.098
12/16/2021 22:40,C,2.596
12/17/2021 0:20,C,2.095
12/17/2021 2:00,C,1.091
12/17/2021 3:40,C,0.59
12/17/2021 5:20,C,-0.414
12/17/2021 7:00,C,-1.418
12/17/2021 8:40,C,-1.92
12/17/2021 10:20,C,-0.916
12/17/2021 12:00,C,0.59
12/17/2021 13:40,C,2.095
12/17/2021 15:20,C,2.596
12/17/2021 17:00,C,2.596
12/17/2021 18:40,C,2.095
12/17/2021 20:20,C,1.593
12/17/2021 22:00,C,1.593
12/17/2021 23:40,C,1.091
12/18/2021 1:20,C,0.59
12/18/2021 3:00,C,0.088
12/18/2021 4:40,C,-0.414
12/18/2021 6:20,C,-0.414
12/18/2021 8:00,C,-0.916
12/18/2021 9:40,C,-0.414
12/18/2021 11:20,C,0.59
12/18/2021 13:00,C,1.593
12/18/2021 14:40,C,2.095
12/18/2021 16:20,C,2.596
12/18/2021 18:00,C,2.095
12/18/2021 19:40,C,1.091
12/18/2021 21:20,C,0.59
12/18/2021 23:00,C,-0.414
12/19/2021 0:40,C,-0.916
12/19/2021 2:20,C,-1.92
12/19/2021 4:00,C,-2.924
12/19/2021 5:40,C,-3.426
12/19/2021 7:20,C,-4.43
12/19/2021 9:00,C,-4.43
12/19/2021 10:40,C,-2.422
12/19/2021 12:20,C,0.59
12/19/2021 14:00,C,2.596
12/19/2021 15:40,C,3.6
12/19/2021 17:20,C,3.6
12/19/2021 19:00,C,3.098
12/19/2021 20:40,C,2.095
12/19/2021 22:20,C,1.593
12/20/2021 0:00,C,0.59
