Date_Time,Unit,Value
12/14/2021 12:17,C,26.648
12/14/2021 13:57,C,19.645
12/14/2021 15:37,C,20.146
12/14/2021 17:17,C,19.645
12/14/2021 18:57,C,18.143
12/14/2021 20:37,C,17.642
12/14/2021 22:17,C,16.641
12/14/2021 23:57,C,15.639
12/15/2021 1:37,C,14.636
12/15/2021 3:17,C,13.634
12/15/2021 4:57,C,12.631
12/15/2021 6:37,C,12.13
12/15/2021 8:17,C,12.631
12/15/2021 9:57,C,16.641
12/15/2021 11:37,C,18.644
12/15/2021 13:17,C,20.646
12/15/2021 14:57,C,5.607
12/15/2021 16:37,C,2.594
12/15/2021 18:17,C,2.594
12/15/2021 19:57,C,2.091
12/15/2021 21:37,C,2.091
12/15/2021 23:17,C,1.086
12/16/2021 0:57,C,0.584
12/16/2021 2:37,C,0.081
12/16/2021 4:17,C,-0.422
12/16/2021 5:57,C,-0.924
12/16/2021 7:37,C,-1.427
12/16/2021 9:17,C,-1.427
12/16/2021 10:57,C,-0.422
12/16/2021 12:37,C,0.584
12/16/2021 14:17,C,1.086
12/16/2021 15:57,C,1.589
12/16/2021 17:37,C,2.091
12/16/2021 19:17,C,2.594
12/16/2021 20:57,C,2.594
12/16/2021 22:37,C,2.091
12/17/2021 0:17,C,2.091
12/17/2021 1:57,C,1.589
12/17/2021 3:37,C,1.086
12/17/2021 5:17,C,0.584
12/17/2021 6:57,C,0.081
12/17/2021 8:37,C,0.081
12/17/2021 10:17,C,0.081
12/17/2021 11:57,C,1.086
12/17/2021 13:37,C,1.589
12/17/2021 15:17,C,2.091
12/17/2021 16:57,C,2.091
12/17/2021 18:37,C,2.091
12/17/2021 20:17,C,2.091
12/17/2021 21:57,C,2.091
12/17/2021 23:37,C,2.091
12/18/2021 1:17,C,1.589
12/18/2021 2:57,C,1.589
12/18/2021 4:37,C,1.086
12/18/2021 6:17,C,0.584
12/18/2021 7:57,C,0.584
12/18/2021 9:37,C,0.584
12/18/2021 11:17,C,1.086
12/18/2021 12:57,C,1.589
12/18/2021 14:37,C,2.091
12/18/2021 16:17,C,2.091
12/18/2021 17:57,C,2.091
12/18/2021 19:37,C,1.589
12/18/2021 21:17,C,1.086
12/18/2021 22:57,C,1.086
12/19/2021 0:37,C,0.584
12/19/2021 2:17,C,0.081
12/19/2021 3:57,C,-0.924
12/19/2021 5:37,C,-1.427
12/19/2021 7:17,C,-1.93
12/19/2021 8:57,C,-1.93
12/19/2021 10:37,C,-1.427
12/19/2021 12:17,C,-0.422
12/19/2021 13:57,C,0.584
12/19/2021 15:37,C,1.589
12/19/2021 17:17,C,2.091
12/19/2021 18:57,C,2.091
12/19/2021 20:37,C,1.589
12/19/2021 22:17,C,1.086
12/19/2021 23:57,C,1.086
12/20/2021 1:37,C,0.584
12/20/2021 3:17,C,0.081
12/20/2021 4:57,C,-0.422
12/20/2021 6:37,C,-0.422
12/20/2021 8:17,C,-0.924
12/20/2021 9:57,C,-0.422
12/20/2021 11:37,C,0.584
12/20/2021 13:17,C,18.143
12/20/2021 14:57,C,20.146
12/20/2021 16:37,C,19.645
12/20/2021 18:17,C,19.144
12/20/2021 19:57,C,18.644
12/20/2021 21:37,C,18.644
12/20/2021 23:17,C,18.644
12/21/2021 0:57,C,18.644
12/21/2021 2:37,C,18.644
12/21/2021 4:17,C,18.143
12/21/2021 5:57,C,18.143
12/21/2021 7:37,C,18.143
12/21/2021 9:17,C,20.146
12/21/2021 10:57,C,21.647
12/21/2021 12:37,C,21.147
12/21/2021 14:17,C,21.147
12/21/2021 15:57,C,19.645
12/21/2021 17:37,C,18.644
12/21/2021 19:17,C,18.143
12/21/2021 20:57,C,18.143
12/21/2021 22:37,C,18.143
12/22/2021 0:17,C,17.642
12/22/2021 1:57,C,17.141
12/22/2021 3:37,C,17.642
12/22/2021 5:17,C,17.141
12/22/2021 6:57,C,16.641
12/22/2021 8:37,C,20.146
12/22/2021 10:17,C,21.647
12/22/2021 11:57,C,22.648
12/22/2021 13:37,C,22.147
12/22/2021 15:17,C,22.147
12/22/2021 16:57,C,19.645
12/22/2021 18:37,C,21.147
